SMILES,Molecular_Weight,LogP,HBA,HBD,TPSA,Rotatable_Bonds,KRAS_pKd,HRAS_pKd,NRAS_pKd,KRAS_IC50_nM,HRAS_IC50_nM,NRAS_IC50_nM,Selectivity_Fold,High_Selectivity
O=C(O)c1ccc(-c2ccc(OCc3ccccc3)cc2)cc1,304.34499999999997,4.630800000000003,2,1,46.53,5,6.454,4.132,4.147,351.4,73721.6,71306.8,202.9,True
O=C(Nc1cccc(C(F)(F)F)c1)C1Cc2ccccc2-n2nnnc21,359.31100000000004,2.959500000000001,4,1,72.7,2,8.06,5.464,5.782,8.7,3433.4,1651.3,189.4,True
O=C(Cc1ccccc1)N1CCN(S(=O)(=O)c2cccc(C(F)(F)F)c2)CC1,412.43300000000005,2.7810000000000015,3,0,57.690000000000005,4,7.46,4.997,5.397,34.6,10075.2,4011.0,115.8,True
